,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FY,MatchWinner,halftimeWinner,FT_Point,FT_Winner,FT_Draw,FT_Loss,HT_Winner,HT_Draw,HT_Loss,Target_Home%,Target_Away%,Manager,Home_Win,Away_Win,Home_Loss,Away_Loss,Home_Draw,Away_Draw,Diff_Score
2893,2017-04-02,Hull,Liverpool,2,0,H,1,0,H,L Mason,7,22,4,5,9,12,1,15,2,1,0,0,FY1617,Hull,Hull,0,0,0,1,0,0,1,57.14,22.73,Jürgen Klopp,0,0,0,1,0,0,-2
2901,2017-11-02,Liverpool,Tottenham,2,0,H,2,0,H,A Taylor,17,7,9,2,14,14,10,3,3,4,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,52.94,28.57,Jürgen Klopp,1,0,0,0,0,0,2
2917,2017-02-27,Leicester,Liverpool,3,1,H,2,0,H,M Oliver,13,17,7,7,8,5,5,12,0,0,0,0,FY1617,Leicester,Leicester,0,0,0,1,0,0,1,53.85,41.18,Jürgen Klopp,0,0,0,1,0,0,-2
2919,2017-04-03,Liverpool,Arsenal,3,1,H,2,0,H,R Madley,18,7,7,3,8,15,9,3,1,2,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,38.89,42.86,Jürgen Klopp,1,0,0,0,0,0,2
2932,2017-12-03,Liverpool,Burnley,2,1,H,1,1,D,C Pawson,10,11,3,1,12,16,11,1,2,2,0,0,FY1617,Liverpool,draw,3,1,0,0,0,1,1,30.0,9.09,Jürgen Klopp,1,0,0,0,0,0,1
2940,2017-03-19,Man City,Liverpool,1,1,D,0,0,D,M Oliver,13,13,3,4,14,7,9,8,3,3,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,23.08,30.77,Jürgen Klopp,0,0,0,0,0,1,0
2947,2017-01-04,Liverpool,Everton,3,1,H,2,1,H,A Taylor,10,9,6,4,17,10,2,3,1,3,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,60.0,44.44,Jürgen Klopp,1,0,0,0,0,0,2
2960,2017-05-04,Liverpool,Bournemouth,2,2,D,1,1,D,L Mason,20,7,8,2,11,8,7,2,1,1,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,40.0,28.57,Jürgen Klopp,0,0,0,0,1,0,0
2966,2017-08-04,Stoke,Liverpool,1,2,A,1,0,H,M Dean,9,14,4,4,7,11,5,8,0,2,0,0,FY1617,Liverpool,Stoke,3,1,0,0,0,0,1,44.44,28.57,Jürgen Klopp,0,1,0,0,0,0,1
2981,2017-04-16,West Brom,Liverpool,0,1,A,0,1,A,J Moss,7,15,2,2,15,9,4,4,3,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,28.57,13.33,Jürgen Klopp,0,1,0,0,0,0,1
2988,2017-04-23,Liverpool,Crystal Palace,1,2,A,1,1,D,A Marriner,14,7,1,3,8,10,4,3,1,2,0,0,FY1617,Crystal Palace,draw,0,0,0,1,0,1,1,7.14,42.86,Jürgen Klopp,0,0,1,0,0,0,-1
3003,2017-01-05,Watford,Liverpool,0,1,A,0,1,A,C Pawson,9,12,2,8,11,9,3,5,3,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,22.22,66.67,Jürgen Klopp,0,1,0,0,0,0,1
3012,2017-07-05,Liverpool,Southampton,0,0,D,0,0,D,R Madley,17,4,8,0,9,4,3,6,1,3,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,47.06,0.0,Jürgen Klopp,0,0,0,0,1,0,0
3024,2017-05-14,West Ham,Liverpool,0,4,A,0,1,A,N Swarbrick,10,26,3,11,5,10,4,6,2,0,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,30.0,42.31,Jürgen Klopp,0,1,0,0,0,0,4
3035,2017-05-21,Liverpool,Middlesbrough,3,0,H,1,0,H,M Atkinson,25,9,10,3,13,8,3,3,0,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,40.0,33.33,Jürgen Klopp,1,0,0,0,0,0,3
3046,2017-12-08,Watford,Liverpool,3,3,D,2,1,H,A Taylor,9,14,4,5,14,8,3,3,0,3,0,0,FY1718,draw,Watford,1,0,1,0,0,0,1,44.44,35.71,Jürgen Klopp,0,0,0,0,0,1,0
3053,2017-08-19,Liverpool,Crystal Palace,1,0,H,0,0,D,K Friend,23,4,13,1,12,13,4,2,1,3,0,0,FY1718,Liverpool,draw,3,1,0,0,0,1,1,56.52,25.0,Jürgen Klopp,1,0,0,0,0,0,1
3067,2017-08-27,Liverpool,Arsenal,4,0,H,2,0,H,C Pawson,18,8,10,0,6,9,4,3,2,4,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,55.56,0.0,Jürgen Klopp,1,0,0,0,0,0,4
3074,2017-09-09,Man City,Liverpool,5,0,H,2,0,H,J Moss,13,10,7,3,10,9,8,3,2,2,0,1,FY1718,Man City,Man City,0,0,0,1,0,0,1,53.85,30.0,Jürgen Klopp,0,0,0,1,0,0,-5
3083,2017-09-16,Liverpool,Burnley,1,1,D,1,1,D,R East,35,5,9,4,7,9,12,2,1,2,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,25.71,80.0,Jürgen Klopp,0,0,0,0,1,0,0
3092,2017-09-23,Leicester,Liverpool,2,3,A,1,2,A,A Taylor,12,23,7,6,13,14,3,6,3,3,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,58.33,26.09,Jürgen Klopp,0,1,0,0,0,0,1
3109,2017-01-10,Newcastle,Liverpool,1,1,D,1,1,D,C Pawson,8,17,5,2,11,6,1,5,1,1,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,62.5,11.76,Jürgen Klopp,0,0,0,0,0,1,0
3112,2017-10-14,Liverpool,Man United,0,0,D,0,0,D,M Atkinson,19,6,5,1,7,13,7,3,0,2,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,26.32,16.67,Jürgen Klopp,0,0,0,0,1,0,0
3129,2017-10-22,Tottenham,Liverpool,4,1,H,3,1,H,A Marriner,14,12,6,7,2,8,3,5,0,1,0,0,FY1718,Tottenham,Tottenham,0,0,0,1,0,0,1,42.86,58.33,Jürgen Klopp,0,0,0,1,0,0,-3
3133,2017-10-28,Liverpool,Huddersfield,3,0,H,0,0,D,K Friend,16,1,8,0,10,8,9,2,0,1,0,0,FY1718,Liverpool,draw,3,1,0,0,0,1,1,50.0,0.0,Jürgen Klopp,1,0,0,0,0,0,3
3145,2017-04-11,West Ham,Liverpool,1,4,A,0,2,A,N Swarbrick,6,15,1,7,9,13,2,3,3,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,16.67,46.67,Jürgen Klopp,0,1,0,0,0,0,3
3155,2017-11-18,Liverpool,Southampton,3,0,H,2,0,H,M Jones,21,5,8,0,15,9,10,2,1,1,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,38.1,0.0,Jürgen Klopp,1,0,0,0,0,0,3
3162,2017-11-25,Liverpool,Chelsea,1,1,D,0,0,D,M Oliver,16,11,4,3,10,7,7,8,0,0,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,25.0,27.27,Jürgen Klopp,0,0,0,0,1,0,0
3179,2017-11-29,Stoke,Liverpool,0,3,A,0,1,A,M Atkinson,10,14,1,7,8,10,5,9,1,5,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,10.0,50.0,Jürgen Klopp,0,1,0,0,0,0,3
3181,2017-02-12,Brighton,Liverpool,1,5,A,0,2,A,G Scott,6,12,2,6,8,7,2,2,1,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,33.33,50.0,Jürgen Klopp,0,1,0,0,0,0,4
3197,2017-10-12,Liverpool,Everton,1,1,D,1,0,H,C Pawson,23,3,3,2,8,11,12,1,1,3,0,0,FY1718,draw,Liverpool,1,0,1,0,1,0,0,13.04,66.67,Jürgen Klopp,0,0,0,0,1,0,0
3203,2017-12-13,Liverpool,West Brom,0,0,D,0,0,D,P Tierney,14,6,5,1,16,6,5,7,1,0,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,35.71,16.67,Jürgen Klopp,0,0,0,0,1,0,0
3217,2017-12-17,Bournemouth,Liverpool,0,4,A,0,3,A,A Marriner,6,21,2,7,5,10,2,3,1,1,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,33.33,33.33,Jürgen Klopp,0,1,0,0,0,0,4
3220,2017-12-22,Arsenal,Liverpool,3,3,D,0,1,A,M Atkinson,11,14,4,9,9,11,7,8,1,0,0,0,FY1718,draw,Liverpool,1,0,1,0,1,0,0,36.36,64.29,Jürgen Klopp,0,0,0,0,0,1,0
3233,2017-12-26,Liverpool,Swansea,5,0,H,1,0,H,K Friend,22,7,9,4,5,8,4,2,0,1,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,40.91,57.14,Jürgen Klopp,1,0,0,0,0,0,5
3243,2017-12-30,Liverpool,Leicester,2,1,H,0,1,A,N Swarbrick,17,7,6,1,7,3,7,1,3,2,0,0,FY1718,Liverpool,Leicester,3,1,0,0,0,0,1,35.29,14.29,Jürgen Klopp,1,0,0,0,0,0,1
3250,2018-01-01,Burnley,Liverpool,1,2,A,0,0,D,R East,13,19,4,5,4,12,3,9,0,0,0,0,FY1718,Liverpool,draw,3,1,0,0,0,1,1,30.77,26.32,Jürgen Klopp,0,1,0,0,0,0,1
3268,2018-01-14,Liverpool,Man City,4,3,H,1,1,D,A Marriner,16,11,7,4,10,7,5,6,2,3,0,0,FY1718,Liverpool,draw,3,1,0,0,0,1,1,43.75,36.36,Jürgen Klopp,1,0,0,0,0,0,1
3279,2018-01-22,Swansea,Liverpool,1,0,H,1,0,H,N Swarbrick,3,21,2,4,5,9,3,9,0,2,0,0,FY1718,Swansea,Swansea,0,0,0,1,0,0,1,66.67,19.05,Jürgen Klopp,0,0,0,1,0,0,-1
3280,2018-01-30,Huddersfield,Liverpool,0,3,A,0,2,A,K Friend,5,14,1,7,8,8,1,4,0,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,20.0,50.0,Jürgen Klopp,0,1,0,0,0,0,3
3298,2018-04-02,Liverpool,Tottenham,2,2,D,1,0,H,J Moss,9,13,3,6,15,9,3,7,3,1,0,0,FY1718,draw,Liverpool,1,0,1,0,1,0,0,33.33,46.15,Jürgen Klopp,0,0,0,0,1,0,0
3308,2018-11-02,Southampton,Liverpool,0,2,A,0,2,A,M Atkinson,6,16,4,4,5,8,3,1,1,2,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,66.67,25.0,Jürgen Klopp,0,1,0,0,0,0,2
3314,2018-02-24,Liverpool,West Ham,4,1,H,1,0,H,S Attwell,21,7,12,4,7,7,8,2,0,2,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,57.14,57.14,Jürgen Klopp,1,0,0,0,0,0,3
3322,2018-03-03,Liverpool,Newcastle,2,0,H,1,0,H,G Scott,14,7,3,2,7,9,8,3,0,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,21.43,28.57,Jürgen Klopp,1,0,0,0,0,0,2
3333,2018-10-03,Man United,Liverpool,2,1,H,2,0,H,C Pawson,5,14,2,2,10,16,1,13,2,1,0,0,FY1718,Man United,Man United,0,0,0,1,0,0,1,40.0,14.29,Jürgen Klopp,0,0,0,1,0,0,-1
